timestamp,memory_used_mb,memory_percent
2026-02-05 21:52:54,0,,0
2026-02-05 21:53:04,0,,0
2026-02-05 21:53:15,0,,0
2026-02-05 21:53:25,0,,0
2026-02-05 21:53:36,0,,0
2026-02-05 21:53:46,0,,0
2026-02-05 21:53:56,0,,0
2026-02-05 21:54:07,3,,0
2026-02-05 21:54:17,3,,0
2026-02-05 21:54:28,3,,0
2026-02-05 21:54:38,3,,0
2026-02-05 21:54:48,753,,0
2026-02-05 21:54:58,753,,0
2026-02-05 21:55:09,17155,,11
2026-02-05 21:55:19,17199,,22
2026-02-05 21:55:29,17199,,40
2026-02-05 21:55:40,17199,,12
2026-02-05 21:55:50,17199,,26
2026-02-05 21:56:01,17199,,14
2026-02-05 21:56:11,17199,,42
2026-02-05 21:56:21,17199,,16
2026-02-05 21:56:32,17199,,17
2026-02-05 21:56:42,17199,,15
2026-02-05 21:56:53,17199,,21
2026-02-05 21:57:03,17199,,34
2026-02-05 21:57:13,17581,,11
2026-02-05 21:57:24,17581,,14
