Mean log-prob on eval split: -8.5246

param                med σ   med |z|  cov@50%  cov@68%  cov@90%  cov@95%  cov@99%   KS (p)
mass1                26.06     0.778    42.9%    63.5%    92.8%    99.5%   100.0%   0.116 (3.2e-12)
mass2                23.98     0.815    41.0%    60.9%    92.9%    99.5%    99.9%   0.076 (2e-05)
spin1z              0.4511     0.907    37.8%    55.6%    91.9%    99.8%   100.0%   0.125 (3.6e-14)
spin2z              0.4635     0.879    39.2%    57.8%    96.0%    99.7%   100.0%   0.080 (5.9e-06)
distance              1929     0.564    87.8%    99.0%   100.0%   100.0%   100.0%   0.200 (1.1e-35)
inclination         0.6699     0.733    44.3%    63.6%    90.0%    97.9%   100.0%   0.044 (0.043)
coa_phase            1.772     0.928    35.9%    53.4%    93.2%   100.0%   100.0%   0.096 (2.1e-08)
ra                   1.817     0.916    36.3%    54.5%    93.9%   100.0%   100.0%   0.089 (2.8e-07)
dec                 0.6861     0.742    44.9%    63.9%    89.6%    97.2%   100.0%   0.032 (0.24)
polarization        0.9281     0.863    39.2%    57.4%    97.2%   100.0%   100.0%   0.070 (9.4e-05)
m_g                 0.1329     0.047     -        -        -        -        -          -
alpha_lv           0.06427     0.086     -        -        -        -        -          -
A                   0.1342     0.038     -        -        -        -        -          -
