Mean log-prob on eval split: -5.9657

param                med σ   med |z|  cov@50%  cov@68%  cov@90%  cov@95%  cov@99%   KS (p)
mass1                25.53     0.767    44.7%    63.7%    90.9%    96.9%    99.7%   0.101 (2.1e-09)
mass2                30.79     0.642    58.9%    81.3%    99.8%   100.0%   100.0%   0.085 (1.1e-06)
spin1z               0.926     0.434    92.0%   100.0%   100.0%   100.0%   100.0%   0.230 (4.5e-47)
spin2z              0.4184     0.959    37.1%    51.6%    84.1%    94.9%    99.9%   0.092 (7e-08)
distance              1099     0.901    36.9%    54.1%    84.0%    90.5%    97.8%   0.108 (1.1e-10)
inclination         0.6646     0.765    43.3%    59.8%    86.9%    94.8%    99.7%   0.078 (8.6e-06)
coa_phase            1.838     0.896    38.0%    58.1%    91.0%    98.2%   100.0%   0.077 (1.2e-05)
ra                   2.482     0.686    68.6%    90.2%    99.9%   100.0%   100.0%   0.131 (2.2e-15)
dec                 0.7175     0.731    46.4%    64.5%    90.4%    96.7%    99.9%   0.096 (2.1e-08)
polarization         0.912     0.885    36.8%    57.4%    93.0%    99.8%   100.0%   0.092 (8.8e-08)
m_g                0.06113     0.045     -        -        -        -        -          -
alpha_lv           0.05091     0.035     -        -        -        -        -          -
A                  0.05884     0.062     -        -        -        -        -          -
